ApplicationType,BusinessType,PostalCode,Created_DayOfYear,Created_Month,Created_DayOfMonth,Created_DayOfWeek,TotalDaysCreationToIssuance_Ints
105.12777777777778,71.10228593568384,67.4584432717678,90,3,31,2,57
105.12777777777778,71.10228593568384,98.55294117647058,90,3,31,2,16
105.12777777777778,104.46629213483146,127.44913627639156,339,12,5,2,26
29.134670487106018,27.626543209876544,100.1002444987775,338,12,4,1,59
105.12777777777778,52.23422075979659,116.50746268656717,341,12,7,4,62
105.12777777777778,52.23422075979659,88.45491803278688,335,12,1,5,39
105.12777777777778,52.23422075979659,100.1002444987775,337,12,3,0,36
105.12777777777778,52.23422075979659,60.18181818181818,337,12,3,0,364
105.12777777777778,402.8687898089172,107.3276397515528,337,12,3,0,43
105.12777777777778,71.10228593568384,107.3276397515528,337,12,3,0,9
105.12777777777778,402.8687898089172,82.69166666666666,339,12,5,2,16
105.12777777777778,52.23422075979659,109.93959731543625,337,12,3,0,21
105.12777777777778,71.10228593568384,127.44913627639156,337,12,3,0,8
105.12777777777778,71.10228593568384,67.4584432717678,337,12,3,0,17
105.12777777777778,47.875000000001876,88.45491803278688,337,12,3,0,30
105.12777777777778,52.23422075979659,88.45491803278688,337,12,3,0,79
105.12777777777778,52.23422075979659,100.1002444987775,337,12,3,0,17
105.12777777777778,52.23422075979659,88.45491803278688,338,12,4,1,17
105.12777777777778,52.23422075979659,88.45491803278688,338,12,4,1,72
105.12777777777778,54.54430379746835,60.18181818181818,338,12,4,1,126
105.12777777777778,71.10228593568384,98.55294117647058,338,12,4,1,73
105.12777777777778,52.23422075979659,116.50746268656717,338,12,4,1,49
105.12777777777778,54.54430379746835,100.1002444987775,339,12,5,2,7
105.12777777777778,54.54430379746835,107.3276397515528,339,12,5,2,7
105.12777777777778,71.10228593568384,116.50746268656717,338,12,4,1,66
105.12777777777778,52.23422075979659,98.55294117647058,339,12,5,2,250
105.12777777777778,104.46629213483146,82.69166666666666,339,12,5,2,65
105.12777777777778,71.10228593568384,67.4584432717678,340,12,6,3,5
105.12777777777778,71.10228593568384,127.44913627639156,340,12,6,3,40
105.12777777777778,71.10228593568384,179.125,346,12,12,2,96
105.12777777777778,157.23910614525138,179.125,340,12,6,3,109
105.12777777777778,157.23910614525138,179.125,340,12,6,3,90
105.12777777777778,157.23910614525138,179.125,340,12,6,3,109
105.12777777777778,52.23422075979659,67.4584432717678,339,12,5,2,13
105.12777777777778,402.8687898089172,60.18181818181818,339,12,5,2,22
105.12777777777778,52.23422075979659,100.1002444987775,340,12,6,3,6
105.12777777777778,52.23422075979659,100.1002444987775,340,12,6,3,6
105.12777777777778,47.875000000001876,377.46153846153845,344,12,10,0,86
105.12777777777778,157.23910614525138,117.63934426229508,340,12,6,3,40
105.12777777777778,157.23910614525138,88.45491803278688,344,12,10,0,10
105.12777777777778,52.23422075979659,100.1002444987775,340,12,6,3,6
105.12777777777778,157.23910614525138,127.44913627639156,340,12,6,3,11
105.12777777777778,71.10228593568384,82.69166666666666,340,12,6,3,7
105.12777777777778,104.46629213483146,116.50746268656717,341,12,7,4,208
105.12777777777778,52.23422075979659,100.1002444987775,341,12,7,4,42
105.12777777777778,197.64444444444445,67.4584432717678,341,12,7,4,76
105.12777777777778,52.23422075979659,100.1002444987775,341,12,7,4,87
105.12777777777778,104.46629213483146,116.50746268656717,341,12,7,4,41
105.12777777777778,71.10228593568384,146.6627906976744,341,12,7,4,133
105.12777777777778,71.10228593568384,86.89449541284404,344,12,10,0,7
105.12777777777778,71.10228593568384,98.55294117647058,344,12,10,0,87
105.12777777777778,52.23422075979659,116.50746268656717,344,12,10,0,30
105.12777777777778,402.8687898089172,67.4584432717678,344,12,10,0,35
105.12777777777778,104.46629213483146,116.50746268656717,344,12,10,0,63
105.12777777777778,157.23910614525138,100.1002444987775,344,12,10,0,213
105.12777777777778,52.23422075979659,67.4584432717678,344,12,10,0,31
105.12777777777778,402.8687898089172,102.53714981729598,344,12,10,0,30
105.12777777777778,71.10228593568384,117.63934426229508,345,12,11,1,121
105.12777777777778,52.23422075979659,102.53714981729598,345,12,11,1,62
105.12777777777778,74.6144578313253,146.6627906976744,345,12,11,1,7
105.12777777777778,52.23422075979659,67.4584432717678,345,12,11,1,73
29.134670487106018,27.626543209876544,82.69166666666666,345,12,11,1,15
105.12777777777778,72.07692307734344,100.1002444987775,345,12,11,1,220
105.12777777777778,52.23422075979659,67.4584432717678,345,12,11,1,52
105.12777777777778,52.23422075979659,67.4584432717678,345,12,11,1,52
105.12777777777778,52.23422075979659,67.4584432717678,345,12,11,1,52
105.12777777777778,52.23422075979659,67.4584432717678,345,12,11,1,52
105.12777777777778,71.10228593568384,116.50746268656717,347,12,13,3,75
105.12777777777778,52.23422075979659,100.1002444987775,345,12,11,1,17
105.12777777777778,52.23422075979659,98.55294117647058,345,12,11,1,62
29.134670487106018,27.626543209876544,67.4584432717678,346,12,12,2,5
105.12777777777778,71.10228593568384,100.1002444987775,346,12,12,2,797
105.12777777777778,71.10228593568384,100.1002444987775,346,12,12,2,22
105.12777777777778,71.10228593568384,82.69166666666666,346,12,12,2,6
105.12777777777778,71.10228593568384,102.53714981729598,347,12,13,3,33
